condition_id,trial,spike_time_ms
5,9,66.82718833851924
5,9,82.87700063576384
5,9,100.76238253230527
5,9,116.45838711017608
5,9,132.0774132533443
5,9,148.77178836926484
5,9,164.56731259487435
5,9,181.17514002987136
5,9,196.30212938940738
6,0,1.735986008426924
6,0,14.785426114583943
6,0,27.412227679878296
6,0,40.569869936706105
6,0,53.69197409118228
6,0,67.45364061031391
6,0,80.38500824628814
6,0,93.04187447457963
6,0,105.44675121106383
6,0,118.47985355501793
6,0,131.13025857771552
6,0,144.0559922860276
6,0,157.1987596454003
6,0,169.83616291271363
6,0,183.0335492296178
6,0,196.47271816065114
6,1,1.5788551252655854
6,1,14.740200613735954
6,1,27.573565972759734
6,1,40.71580604538375
6,1,53.49013137100135
6,1,65.98692961791242
6,1,80.14842807837732
6,1,92.96287766528026
6,1,105.90425862587003
6,1,118.82221090808086
6,1,132.4119620610898
6,1,145.4388159791398
6,1,158.3359300792029
6,1,171.13532315226334
6,1,184.34272161405474
6,1,197.75327692283207
6,2,1.6479535035341053
6,2,14.883203590538773
6,2,28.037008098002598
6,2,40.72694137625807
6,2,53.76850886772877
6,2,66.5934839802838
6,2,79.23587576203609
6,2,92.38215006312245
6,2,105.04151834091735
6,2,118.4638879591681
6,2,131.46717050945554
6,2,144.09089371486084
6,2,156.6334606725642
6,2,170.4311158035225
6,2,184.00177349193834
6,2,197.85925567488752
6,3,1.5854030246391786
6,3,14.836644810647753
6,3,28.883348779141013
6,3,41.729218994247006
6,3,55.010661560883314
6,3,67.9461532484548
6,3,81.06544330057771
6,3,93.59512592172402
6,3,106.4362656789323
6,3,119.56596444563414
6,3,132.24995751449407
6,3,145.64820539228646
6,3,158.3469566988056
6,3,171.50079394733086
6,3,184.47095377739058
6,3,197.30821278149992
6,4,1.5558717657079684
6,4,14.483830358021022
6,4,27.764379093418924
6,4,40.90315299905763
6,4,53.71648517618237
6,4,66.92866007156537
6,4,79.78397689292169
6,4,92.71659471976368
6,4,105.77121954451914
6,4,119.09868638626438
6,4,132.60221207716978
6,4,145.92702155025088
6,4,158.1735998446262
6,4,171.63774381479607
6,4,185.03961420653292
6,4,197.7998822553445
